OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT_PREFIX	MEASUREMENT_UNIT	IS_EXTRACTED	TEST_OUTCOME	n_TEST_OUTCOME	n_subjects
-1	!pak.maitoigavasta-aineet	%	%	FALSE	N	93	93
-1	!pak.maitoigavasta-aineet	%	%	FALSE	A	37	37
-1	!pak.maitoigavasta-aineet			FALSE	N	16	16
-1	!pak.maitoiggvasta-aineet	%	%	FALSE	N	129	129
-1	!pak.maitoiggvasta-aineet	%	%	FALSE	A	15	15
-1	(alv)huumeseulonta4a			FALSE	N	18	18
-1	(alv)huumeseulonta5a			FALSE	N	6	6
-1	(alv)huumeseulonta5b			FALSE	N	44	40
-1	(alv)huumeseulonta6a			FALSE	N	140	130
-1	(alv)huumeseulonta7a			FALSE	N	7	7
-1	(m)gluk120			FALSE	N	20	17
-1	-abcg2			FALSE	N	1450	1403
-1	-acantvi			FALSE	N	18	17
3028371	-activi			FALSE	A	61	61
3016845	-adenag			FALSE	N	66	57
3040853	-adennho			FALSE	N	1258	792
3040853	-adennho			FALSE	A	94	71
-1	-adenovirus,nukleiinihaponosoitus			FALSE	N	9	9
-1	-agglut			FALSE	N	693	562
-1	-aikaisemmintutkitunnäytteenkäsitteleminenmeetingissä			FALSE	N	7	7
-1	-albumiini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	A	6	6
-1	-albumiini,seerumi,elektroforeesifraktio(g/l)	g/l	g/l	FALSE	A	427	140
-1	-albumiini,seerumi,elektroforeesifraktio(g/l)	g/l	g/l	FALSE	N	15	15
-1	-albumiini,seerumi,elektroforeesifraktio(g/l)	g/l	g/l	FALSE	L	77	43
-1	-alfa-1-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	N	7	6
-1	-alfa-1-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	A	6	6
-1	-alfa-1-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	A	142	72
-1	-alfa-1-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	N	62	42
-1	-alfa-1-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	H	30	21
-1	-alfa-2-globuliini,eletroforeesifraktio,osatutk2522	g/l	g/l	FALSE	N	6	6
-1	-alfa-2-globuliini,eletroforeesifraktio,osatutk2522	g/l	g/l	FALSE	A	6	6
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	A	251	104
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	N	64	44
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	L	12	8
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	H	17	15
-1	-alk-pak			FALSE	N	52	36
-1	-alk-sul			FALSE	N	110	87
-1	-amebvr			FALSE	A	45	30
-1	-amebvr			FALSE	N	16	13
3016771	-amyl	u/l	u/l	FALSE	N	1651	294
-1	-amyl			FALSE	N	188	121
3016417	-amylp	u/l	u/l	FALSE	N	56	30
3016417	-amylp			FALSE	N	9	8
-1	-anaerobibakteeriviljely			FALSE	A	6	6
-1	-artriittitutkimus,lausunto			FALSE	N	11	11
-1	-artriittitutkimus,lausunto			FALSE	A	10	9
-1	-askirje			FALSE	N	436	409
-1	-aspeag			FALSE	N	532	258
-1	-aspeag	index	index	FALSE	A	10	9
-1	-aspeag			FALSE	A	18	17
-1	-aspeag			FALSE	H	12	11
-1	-aspenho			FALSE	N	18	15
-1	-aspenho			FALSE	A	9	8
-1	-bakt			FALSE	N	6	6
-1	-bakteeri,nukleiinihappo(kval)			FALSE	A	31	18
-1	-bakteeri,nukleiinihappo-osoitus			FALSE	A	13	11
-1	-bakteeri,viljely			FALSE	A	55	47
-1	-bakteeri,värjäys			FALSE	A	32	27
-1	-bakteeriviljely,aerobi			FALSE	N	119	101
-1	-bakteeriviljely,anaerobi			FALSE	N	128	106
40769539	-baktnho			FALSE	N	3846	2251
40769539	-baktnho			FALSE	A	2025	1429
3002619	-baktvi			FALSE	N	83	81
36305247	-baktvr			FALSE	A	535	487
36305247	-baktvr			FALSE	N	1109	907
3006315	-baso	%	%	FALSE	A	35	22
-1	-beeta-1-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	N	10	9
-1	-beeta-2-globuliini,elektroforeesifraktio,osatutk2522	g/l	g/l	FALSE	A	10	9
-1	-beta-1-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	A	189	74
-1	-beta-1-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	N	72	46
-1	-beta-1-globuliini,seerumi,elektroforeesifraktio	g/l	g/l	FALSE	L	20	14
