status	OMOP_CONCEPT_ID	concept_name	omopQuantity	testId	n_subjects	n_records	p_values_missing_extracted_source	p_outcomes_NA_N_A_AA_L_LL_H_HH	decile_MEASUREMENT_VALUE	ksTest_pValue	ksTest_KS	CONVERSION_FACTOR	decile_MEASUREMENT_VALUE_HARMONIZED	ksTestHarmonized_pValue	ksTestHarmonized_KS
UNCHECKED	0	Unmapped		s-gliadiinipeptidi,iggvasta-aineet []	8	9	[ 100, 0, 0, 0]%	[ 0, 100, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-cdef []	12	14	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
NOT-FOUND				kolesteroli,highdensitylipoproteiinit,plasma []	9	9	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
NOT-FOUND				b-jak2-geeninmutaatioanalyysi,verestä []	7	7	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		p-crp-päi []	6	7	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		syto-ih []	14	14	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
NOT-FOUND				s-tyreotropiini,elinvasta-aineristireaktio []	9	9	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
NOT-FOUND				s-klotsapiini,osatutk. []	9	25	[ 0, 100, 0, 0]%	[ 20, 0, 80, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		rr-mittarilainajakotiseuranta []	32	37	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-hom3abe []	7	7	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
NOT-FOUND				s-asflabe []	6	6	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-asniabe []	7	7	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-asocabe []	7	7	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-aspeabe []	6	6	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-asteabe []	7	7	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-katkare []	8	8	[ 0, 100, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
APPROVED	40762482	Peach recombinant (rPru p) 3 IgE Ab [Units/volume] in Serum	Arbitrary Concentration	s-rprup3e []	10	10	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		u-stix-kem []	7	8	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
NOT-FOUND				s-koriongonadotropiini-b-alayksikkö []	9	9	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		pt-sappig []	10	10	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-caspek []	12	12	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-cora1e []	13	13	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-cora8e []	14	14	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-dharipi [nmol/l]	13	15	[ 0, 0, 100, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-aridhas [nmol/l]	14	16	[ 0, 0, 100, 0]%	[ 56.2, 0, 43.8, 0, 0, 0, 0, 0]%							
NOT-FOUND				b-kreatiniini,natrium,kalium,laboratorionvieritutkimus []	11	11	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-coxiellaburnetii,iggvasta-aineet []	12	17	[ 100, 0, 0, 0]%	[ 11.8, 88.2, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		s-coxiellaburnetii,igmvasta-aineet []	12	17	[ 100, 0, 0, 0]%	[ 11.8, 88.2, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		pt-acthneo []	22	26	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
UNCHECKED	0	Unmapped		b-dna-8 []	7	8	[ 100, 0, 0, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%							
NOT-FOUND				6697 [titre]	8	17	[ 0, 0, 100, 0]%	[ 5.9, 0, 94.1, 0, 0, 0, 0, 0]%							
