new_omop_id	new_invalid_reason	status	OMOP_CONCEPT_ID	OMOP_CONCEPT_NAME	OMOP_QUANTITY	testId	n_subjects	n_records	p_values_missing_extracted_source	p_outcomes_NA_N_A_AA_L_LL_H_HH	decile_MEASUREMENT_VALUE	ksTest_pValue	ksTest_KS	CONVERSION_FACTOR	decile_MEASUREMENT_VALUE_HARMONIZED	ksTestHarmonized_pValue	ksTestHarmonized_KS	message
		UNCHECKED	0	Unmapped		s-p�lyer [u/ml]	7012	7492	[ 0, 0, 100, 0]%	[ 0, 39.7, 6.2, 0, 0, 0, 37.6, 0, 16.5]%								
		UNCHECKED	0	Unmapped		nitr-o []	2076	8368	[ 100, 0, 0, 0]%	[ 0, 0, 9.1, 0, 0, 0, 0, 0, 90.9]%								
		NOT-FOUND				ekg,12kytkentäälevossa(asi []	5087	8872	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		metamyelosyytit []	6373	13185	[ 100, 0, 0, 0]%	[ 0, 2.2, 0, 0, 0, 0, 0, 0, 97.8]%								
		UNCHECKED	0	Unmapped		b-leukosyytit,erittelylaskenta []	5643	12230	[ 100, 0, 0, 0]%	[ 0, 18.2, 0, 0, 0, 0, 0, 0, 81.8]%								
		NOT-FOUND				l-eosinofiili [%]	3614	11078	[ 0, 0, 100, 0]%	[ 0, 0, 21.9, 0, 0, 0, 0, 0, 78.1]%								
		UNCHECKED	0	Unmapped		solut,virtsasta []	2044	5181	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		cb-tt-inrp []	197	5576	[ 0, 100, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		UNCHECKED	0	Unmapped		u-ctgcnho []	49118	99485	[ 100, 0, 0, 0]%	[ 0, 20.8, 0.4, 0, 0, 0, 0, 0, 78.7]%								
		NOT-FOUND				21622 [ug/l]	821	16239	[ 0, 0, 100, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
		NOT-FOUND				u-seulonta(liuskakoe) []	3117	5149	[ 100, 0, 0, 0]%	[ 0, 0, 0, 0, 0, 0, 0, 0, 100]%								
