OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT_PREFIX	MEASUREMENT_UNIT	IS_EXTRACTED	n_subjects	n_records	decile	decile_MEASUREMENT_VALUE	decile_MEASUREMENT_VALUE_HARMONIZED
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.1	3.318117134408636	3.318117134408636
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.2	3.7095251983890125	3.7095251983890125
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.3	3.978387384144846	3.978387384144846
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.4	4.183242232443117	4.183242232443117
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.5	4.3503943150524655	4.3503943150524655
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.6	4.503239219653446	4.503239219653446
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.7	4.664644162609939	4.664644162609939
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.8	4.837101590996907	4.837101590996907
3026361	b-eryt	e12/l	e12/l	FALSE	46365	802616	0.9	5.082765886357128	5.082765886357128
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.1	84.7733866266957	84.7733866266957
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.2	86.99198552007444	86.99198552007444
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.3	88.78332459837264	88.78332459837264
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.4	90.00445590902248	90.00445590902248
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.5	91.05707231806998	91.05707231806998
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.6	92.7065183456208	92.7065183456208
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.7	94.01509902582326	94.01509902582326
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.8	95.92859983696316	95.92859983696316
3024731	e-mcv	fl	fl	FALSE	47095	1001936	0.9	98.64732174011606	98.64732174011606
