TEST_NAME	UNIT	n	p_missing	deciles	LongName	prefix_meaning	suffix_meaning
!pak.maitoigavasta-aineet	%	131	0	[0.58, 0.82, 1.2, 1.91, 2.91, 4.04, 5.35, 9.13, 17.95]	NA	NA	NA
!pak.maitoigavasta-aineet	NA	16	100	NA	NA	NA	NA
!pak.maitoiggvasta-aineet	%	145	0	[0.98, 1.7, 2.32, 3.27, 4.38, 5.93, 8.46, 13.11, 27.46]	NA	NA	NA
!psavapaanjatotaalinsuhde	NA	13	100	NA	NA	NA	NA
!psavapaanjatotaalinsuhde	%	7	0	NA	NA	NA	NA
(alv)huumeseulonta4a	NA	85	100	NA	NA	NA	NA
(alv)huumeseulonta4b	NA	17	100	NA	NA	NA	NA
(alv)huumeseulonta5a	NA	11	100	NA	NA	NA	NA
(alv)huumeseulonta5b	NA	216	100	NA	NA	NA	NA
(alv)huumeseulonta5c	NA	24	100	NA	NA	NA	NA
(alv)huumeseulonta6a	NA	572	100	NA	NA	NA	NA
(alv)huumeseulonta7a	NA	7	100	NA	NA	NA	NA
(alv)huumeseulonta7b	NA	6	100	NA	NA	NA	NA
(alv)työelämänhuumetutkimus,laajavirtsasta	NA	14	100	NA	NA	NA	NA
(b-gluk)	NA	21	0	NA	NA	NA	NA
(m)eryt	NA	5	100	NA	NA	NA	NA
(m)färg	NA	5	100	NA	NA	NA	NA
(m)gluk120	NA	20	100	NA	NA	NA	NA
(m)glukos	NA	5	100	NA	NA	NA	NA
(m)ketoner	NA	5	100	NA	NA	NA	NA
(m)leuk	NA	5	100	NA	NA	NA	NA
(m)nitrit	NA	5	100	NA	NA	NA	NA
(m)ph	NA	5	0	NA	NA	NA	NA
(m)prot	NA	5	100	NA	NA	NA	NA
(m)utseend	NA	5	100	NA	NA	NA	NA
(pikacrp)	NA	854	54.1	[12.79, 16.77, 21.92, 26.05, 31.39, 38.26, 46.75, 63.16, 87.69]	NA	NA	NA
(pikacrp)	mg/l	17	0	NA	NA	NA	NA
(pikahb)	NA	112	0.89	[98.4, 113.75, 119.71, 125.97, 128, 131.9, 135.16, 141.53, 150.35]	NA	NA	NA
(pikahb)	g/l	11	0	NA	NA	NA	NA
-.......	NA	8	100	NA	NA	NA	NA
-abcg2	NA	2592	100	NA	NA	NA	NA
-abcg2-geeninnukleotidivariaatiot,dna-tutkimus	NA	6	100	NA	NA	NA	NA
-acantvi	NA	43	100	NA	-Acanthamoeba, viljely	NA	NA
-actinomyces,viljely	NA	6	100	NA	NA	NA	NA
-activi	NA	523	100	NA	-Actinomyces, viljely	NA	NA
