group_id	TEST_NAME	UNIT	n	p_missing	deciles	LongName	prefix_meaning	suffix_meaning	group_path	has_component	has_property	has_time_aspect	has_system	has_scale_type	has_method	is_panel
7	kudostransglutaminaasi,iga-vasta-aineet	u/ml	620	0	[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.81, 1.01, 1.43]				1.2.1.1.1	Transglutaminase IgA Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn		FALSE
7	kudostransglutaminaasi,iga-vasta-aineet		36	100					1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	kudostransglutaminaasi,iga-vasta-aineet,seerumista		134	100					1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	kudostransglutaminaasi,igavasta-aineet	u/ml	70	0	[0.2, 0.3, 0.3, 0.4, 0.5, 0.6, 0.75, 1.05, 2.8]				1.2.1.1.1	Transglutaminase IgA Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn		FALSE
7	kudostransglutaminaasi,igavasta-aineet		62	100					1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	kudostransglutaminaasi,igavasta-aineet,seerumista␤	u/ml	169	0					1.2.1.1.1	Transglutaminase IgA Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn		FALSE
7	kudostransglutaminaasi,igavasta-aineet,seerumista␤		508	100					1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	kudostransglutaminaasi,igg-vasta-aineet		131	100					1.2.1.1.1	Transglutaminase IgG Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	s-kudostransglutaminaasi,iga-vasta-aineet	u/ml	36	0			Serum		1.2.1.1.1	Transglutaminase IgA Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn		FALSE
7	s-kudostransglutaminaasi,iga-vasta-aineet		300	100			Serum		1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	s-kudostransglutaminaasi,iga-vasta-aineetosatutk.		426	100			Serum		1.2.1.1.1	Transglutaminase IgA Ab	Presence or Threshold	Point in time (spot)	Serum	Ord		FALSE
7	s-kudostransglutaminaasi,igavasta-aineet	eliau/ml	10	0			Serum		1.2.1.1.1	Transglutaminase IgA Ab	Arbitrary Concentration	Point in time (spot)	Serum	Qn	Immunoassay	FALSE
