axe_name	value	concept_name	concept_id	score
component	Transferrin saturation	Transferrin saturation	1018580	1
component	Transferrin saturation	Transferrin	40779258	0.72942352294921875
component	Transferrin saturation	Transferrin/Protein.total	1992114	0.714813232421875
component	Transferrin saturation	Transferrin receptor.soluble/log Ferritin index	37027036	0.7145538330078125
component	Transferrin saturation	Iron saturation	1026198	0.696563720703125
component	Soluble transferrin receptor	Transferrin receptor.soluble	37040130	0.8588409423828125
component	Soluble transferrin receptor	Transferrin receptor.soluble/log Ferritin index	37027036	0.761322021484375
component	Soluble transferrin receptor	Transferrin	40779258	0.7240753173828125
component	Soluble transferrin receptor	Interleukin 2 Receptor Soluble	37028189	0.68657684326171875
component	Soluble transferrin receptor	Transferrin saturation	1018580	0.68154144287109375
component	Glucose	Glucose	3968605	1
component	Glucose	Glucose.IV	37077584	0.68723297119140625
component	Glucose	Glucose^baseline	1021838	0.66880035400390625
component	Glucose	Glucose^overnight	1023174	0.66058349609375
component	Glucose	Glucose and Protein	1033756	0.64330291748046875
property	Mass Fraction	Mass fraction	1029654	1
property	Mass Fraction	Mass Ratio	1029667	0.696380615234375
property	Mass Fraction	Substance Fraction	1029731	0.69618988037109375
property	Mass Fraction	Decimal mass fraction	1011698	0.672637939453125
property	Mass Fraction	Mass fraction difference	1012215	0.6633758544921875
property	Mass Concentration	Mass Concentration	1029650	1
property	Mass Concentration	Mass concentration difference	1005911	0.839263916015625
property	Mass Concentration	Mass Concentration Squared	1014697	0.776275634765625
property	Mass Concentration	Mass or Substance Concentration	1026265	0.7735137939453125
property	Mass Concentration	Mass concentration percent difference	1010857	0.7399749755859375
property	Substance Concentration	Substance Concentration	1029726	1
property	Substance Concentration	Substance Concentration Squared	1014696	0.84484100341796875
property	Substance Concentration	Substance concentration difference	1029306	0.8410186767578125
property	Substance Concentration	Mass or Substance Concentration	1026265	0.8373184204101564
property	Substance Concentration	Mass Concentration	1029650	0.771636962890625
property	Finding	Finding	1029636	1
method	Test strip	Test strip	1029357	1
method	Test strip	Test strip manual	1029360	0.84304046630859375
method	Test strip	Test strip automated	1029363	0.83556365966796875
method	Test strip	Test strip detection limit <= 20 mg/L	1025985	0.6697845458984375
system	Plasma	Plasma	1032286	1
system	Plasma	Plasma or Blood	1012720	0.75205230712890625
system	Plasma	Plasma and Urine	1032305	0.67740631103515625
system	Plasma	Plasma or RBC	1032314	0.67412567138671875
system	Plasma	Plasma venous	1019914	0.6666412353515625
system	Serum	Serum	1033211	1
system	Serum	Serum or Blood	1033297	0.72429656982421875
system	Serum	Serum and Blood	1033219	0.70621490478515625
system	Serum	Serum or Plasma	1033306	0.70418548583984375
system	Serum	Serum^Control	1027451	0.68277740478515625
system	Blood capillary	Blood capillary	1029929	1
system	Blood capillary	Blood capillary^Fetus	1025902	0.76305389404296875
system	Blood capillary	Capillary bed	1030020	0.7230377197265625
system	Blood capillary	Capillary bed+BldC	1033501	0.6531105041503906
system	Blood capillary	Pulmonary capillaries	1013030	0.6232147216796875
system	^Patient	^Patient	1025532	1
system	^Patient	*^patient	1019946	0.74597930908203125
system	^Patient	^Parent	1019605	0.6839141845703125
system	^Patient	^Person	1260802	0.6828155517578125
system	^Patient	^Pediatric	1471256	0.66065216064453125
component	Amylase	Amylase	40775876	1
