concept_id	concept_code	concept_name	vocabulary_id	is_panel	has_component	has_property	has_method	has_scale_type	has_system	has_time_aspect
132740	26576000	Positive skin test reaction	SNOMED	FALSE						
320074	418010004	Blood lymphocyte number above reference range	SNOMED	FALSE						
320682	365630000	White blood cell number - finding	SNOMED	FALSE						
321533	165543009	Immature white blood cells	SNOMED	FALSE						
433877	365718003	CSF: chemical content - general - finding	SNOMED	FALSE						
434481	365649001	Erythrocyte sedimentation rate - finding	SNOMED	FALSE						
434488	366354008	Basal metabolic rate - finding	SNOMED	FALSE						
436230	166318006	Blood chemistry outside reference range	SNOMED	FALSE						
436238	274774002	Elevated level of transaminase and lactic acid dehydrogenase	SNOMED	FALSE						
436815	365438003	Contents of stool - finding	SNOMED	FALSE						
437992	167180005	Renal function tests outside reference range	SNOMED	FALSE						
438258	310539009	Baby birth weight above 2.5kg	SNOMED	FALSE						
438557	102660008	Glucose level outside reference range	SNOMED	FALSE						
438878	166603001	Liver function tests outside reference range	SNOMED	FALSE						
439453	166160000	Prostate specific antigen outside reference range	SNOMED	FALSE						
439937	166584001	C-reactive protein outside reference range	SNOMED	FALSE						
440216	274858002	Glucose tolerance test outside reference range	SNOMED	FALSE						
441419	312391003	Blood gases outside reference range	SNOMED	FALSE						
441692	396701002	Finding of serum tumor marker level	SNOMED	FALSE						
443363	275787002	Acid-fast bacilli in sputum	SNOMED	FALSE						
506600	1052121000000102	qSOFA - quick Sequential Organ Failure Assessment	SNOMED	FALSE						
506609	1052251000000101	Abnormal lymphocyte count	SNOMED	FALSE	Lymphocyte	Number concentration				
506666	1053081000000108	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 1 - active disturbance of social behaviour	SNOMED	FALSE						
506667	1053101000000102	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 11 - problems with living conditions	SNOMED	FALSE						
506668	1053111000000100	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 12 - problems with activities	SNOMED	FALSE						
506669	1053121000000106	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 2 - self directed injury	SNOMED	FALSE						
506670	1053131000000108	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 3 - problem drinking or drug use	SNOMED	FALSE						
506671	1053141000000104	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 4 - cognitive problems	SNOMED	FALSE						
506672	1053151000000101	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 5 - physical illness or disability problems	SNOMED	FALSE						
506673	1053161000000103	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 6 - problems associated with hallucinations or delusions or confabulations	SNOMED	FALSE						
506674	1053171000000105	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 7 - problems with depressive symptoms	SNOMED	FALSE						
506675	1053181000000107	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 8 - other mental and behavioural problems	SNOMED	FALSE						
506676	1053191000000109	HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 9 - problems with relationships	SNOMED	FALSE						
506679	1053251000000107	CADL (Communication Activities of Daily Living) original edition	SNOMED	FALSE						
506688	1053431000000104	Personal Wellbeing Score rating - what I do in my life is worthwhile	SNOMED	FALSE						
