group_id	TEST_NAME	UNIT	n	p_missing	deciles	LongName	prefix_meaning	suffix_meaning	group_path
1	-chl.trach.janeisser.gonorrh,nukl.hapon(kval)		688	100					1.1.1
1	-chlamydiatrachomatis,nukleiinihaponosoittaminen		140	100					1.1.1
1	-chlamydiatrachomatis,nukleiinihaponosoitus		1033	100					1.1.1
1	-chlamydiatrachomatis,nukleiinihappo(kval)		3008	100					1.1.1
1	-chlamydiatrachomatis,nukleiinihappokotona		4816	100					1.1.1
1	-chlamydiatrachomatis,osoittaminennukleiinihap		1010	100					1.1.1
1	-chlamydiatrachomatisjaneisseriagonorrhoea,		581	100					1.1.1
1	-chlamydiatrachomatisjaneisseriagonorrhoeae,n		578	100					1.1.1
1	-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappo(kval)		2312	100					1.1.1
1	-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappo(kval),klamydia		107	100					1.1.1
1	-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappokotona(kval)		6639	100					1.1.1
1	-neisseriagonnorrhoeae,nukleiinihappo(kval)		867	100					1.1.1
1	-neisseriagonorrhoea,nukleiinihaponosoittaminen		135	100					1.1.1
1	-neisseriagonorrhoeae(gonokokki),nukleiiihapp		514	100					1.1.1
1	-neisseriagonorrhoeae,nukleiinihaponosoittaminen		646	100					1.1.1
1	-neisseriagonorrhoeae,nukleiinihappo(kval)		2116	100					1.1.1
1	-neisseriagonorrhoeae,nukleiinihappo/kauklahti		1007	100					1.1.1
1	-neisseriagonorrhoeae,nukleiinihappokotona(kval)		4817	100					1.1.1
1	..-chlamydiatrachomatis,nukl.haponos.(kval)		403	100					1.1.1
1	..-gonokokki/neisserea,nukl.haponos.(kval),pcr		403	100					1.1.1
1	c.trachomatisjan.gonnorreae,nukeliinihappomuistanäytteistä		288	100					1.1.1
1	c.trachomatisjan.gonorrhoeae,nukleiinihappovirtsasta		184	100					1.1.1
1	chl.trachom.jan.gonorrhoeae,nukleiinihappo(		235	100					1.1.1
1	chl.trachom.jan.gonorrhoeae,nukleiinihappo(kval)		242	100					1.1.1
1	chl.trachomatisjan.gonorrhoenukleiinihappo(kval		164	100					1.1.1
1	chlamydiatrachom.janeissgono(kval)		1008	100					1.1.1
1	chlamydiatrachom.nho		312	100					1.1.1
1	chlamydiatrachomatis,nhosoitus		531	100					1.1.1
1	chlamydiatrachomatis,nukeliinihappo(kval)		288	100					1.1.1
1	chlamydiatrachomatis,nukleiinihaponos.,osatutk.1738		122	100					1.1.1
1	chlamydiatrachomatis,nukleiinihaponos.,virtsasta,osatutk.4816		104	100					1.1.1
1	chlamydiatrachomatis,nukleiinihaponosoittaminen		143	100					1.1.1
1	chlamydiatrachomatis,nukleiinihappo(kval)		853	100					1.1.1
1	chlamydiatrachomatis,nukleiinihappovirtsasta		218	100					1.1.1
1	chlamydiatrachomatisjan.gonorrhoeae,nukleiinihaponos.,virtsasta		104	100					1.1.1
1	chlamydiatrachomatisjaneisseriagonorrhoeae,nho,limakalvoilta␤		531	100					1.1.1
1	chlamydiatrachomatisjaneisseriagonorrhoeae,nho,virtsasta␤		845	100					1.1.1
1	chlamydiatrachomatisjaneisseriagonorrhoeae,nukl.happo(kval)limakalvolta		118	100					1.1.1
1	chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappo(kval)		2462	100					1.1.1
1	chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappo(kval),virtsasta		115	100					1.1.1
1	klamydia,tippuri.chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappo(kval)		675	100					1.1.1
1	neisseriagononorrhoeae,nukleiinihappo(kval)		288	100					1.1.1
1	neisseriagonorr.nho		312	100					1.1.1
1	neisseriagonorrhoea,nukleiinihaponos.,osatutk.1738		122	100					1.1.1
1	neisseriagonorrhoea,nukleiinihaponos.,virtsasta,osatutk.4816		104	100					1.1.1
1	neisseriagonorrhoeae,nho		525	100					1.1.1
1	neisseriagonorrhoeae,nukleiinihappo(kval)		762	100					1.1.1
1	neisseriagonorrhoeaevirtsasta		240	100					1.1.1
1	u-chl.trach.janeisser.gonorrh.nukl.happo(kval)		139	100			Urine		1.1.1
1	u-chlam.trachomatisjaneisseriagonorr,nukleiinihappo(kval)		867	100			Urine		1.1.1
1	u-chlamydiatrachomatis+neisseriagonorrhoeae,nu		219	100			Urine		1.1.1
1	u-chlamydiatrachomatis,nho(kval)		845	100			Urine		1.1.1
1	u-chlamydiatrachomatis,nukleiinihaponosoitus		119	100			Urine		1.1.1
1	u-chlamydiatrachomatis,nukleiinihappo		1389	100			Urine		1.1.1
1	u-chlamydiatrachomatis,nukleiinihappo(kval)		2812	100			Urine		1.1.1
1	u-chlamydiatrachomatis,nukleiinihappokotona(kval)		1889	100			Urine		1.1.1
1	u-chlamydiatrachomatis,virtsasta,osnukleiinihappo		868	100			Urine		1.1.1
1	u-chlamydiatrachomatisjaneisseriagonorrhoeae,		564	100			Urine		1.1.1
1	u-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappo(kval)		1624	100			Urine		1.1.1
1	u-chlamydiatrachomatisjaneisseriagonorrhoeaennukleiinihappo(kval),virtsa		119	100			Urine		1.1.1
1	u-chlamydiatrachomatisjaneisseriagonorrhoeanukleiinihappo		137	100			Urine		1.1.1
1	u-neisseriagonorrhoeae,nho(kval)		845	100			Urine		1.1.1
1	u-neisseriagonorrhoeae,nukl.os.(kval)		116	100			Urine		1.1.1
1	u-neisseriagonorrhoeae,nukleiinihaponosoitus		119	100			Urine		1.1.1
1	u-neisseriagonorrhoeae,nukleiinihappo(kval)		5319	100			Urine		1.1.1
1	u-neisseriagonorrhoeae,nukleiinihappokotona(kval)		1890	100			Urine		1.1.1
1	␤␤␤␤␤chlamydiatrachomatis,nukleiinihappo(kval)		275	100					1.1.1
2	-covid-19-koronavirustauti,antigeeni		394	100					1.1.2.1
2	-covid-19-koronavirustauti,nho(kval)		1824	100					1.1.2.1
2	-covid-19-koronavirustauti,nho-pikatesti(kval)		882	100					1.1.2.1
2	-covid-19-koronavirustauti,nukleiinihappo(kval)		4805	100					1.1.2.1
2	-cv19nho-covid-19koronavirustauti,nukleiinihappo(kval)		389	100					1.1.2.1
2	-influenssaa,b,rs-virusjacovid-19-koronavirustauti,nukl.ihaponoso.		304	100					1.1.2.1
2	-influenssaa,b,rs-virusjacovid-19-koronavirustauti,nukleiinihaponosoitus		2569	100					1.1.2.1
2	-influenssaa,b,rs-virusjacv19,nukleiinihappo(kval)		289	100					1.1.2.1
2	-influenssaa,b,rsvjacovid-19nukleiinihappo(kval)		5134	100					1.1.2.1
2	-influenssaa,bjarsv-virus,nukleiinihappo		186	100					1.1.2.1
2	-influenssaa-rna-osoitus		371	100					1.1.2.1
2	-influenssaa-virus(a/h-2009),variantti,nho(kval)		926	100					1.1.2.1
2	-influenssaa-virus(a/h3),variantti,nho(kval)		926	100					1.1.2.1
2	-influenssaa-virus,nukeliinihapon(kval)		573	100					1.1.2.1
2	-influenssaa-virus,nukl.happo(kval)		445	100					1.1.2.1
2	-influenssaa-virus,nukleiinihappo(kval)		624	100					1.1.2.1
2	-influenssaa/b,rsvjacovid-19-koronav,poc-nukl		1895	100					1.1.2.1
2	-influenssaa/b,rsvjacovid-19-koronavirus,poc-nukl		598	100					1.1.2.1
2	-influenssaa/b,rsvjacovid-19-koronavirus,poc-nukleiinihaponosoitus(kval)		276	100					1.1.2.1
2	-influenssaah1nho(kval)		926	100					1.1.2.1
2	-influenssaavirus,nukleiinihappo(kval)		3105	100					1.1.2.1
2	-influenssab-virus,nukeliinihapon(kval)		573	100					1.1.2.1
2	-influenssab-virus,nukleiinihappo(kval)		7125	100					1.1.2.1
2	-influenssabvirus,nukleiinihappo(kval)		2729	100					1.1.2.1
2	-parainfluenssa1-virus,nukleiinihappo		691	100					1.1.2.1
2	-parainfluenssa1virus,nukleiinihappo(kval)		231	100					1.1.2.1
2	-parainfluenssa2virus,nukleiinihappo(kval)		231	100					1.1.2.1
2	-parainfluenssa3virus,nukleiinihappo(kval)		231	100					1.1.2.1
2	-parainfluenssa4virus,nukleiinihappo(kval)		231	100					1.1.2.1
2	-parainfluenssavirus4,nukleiinihappo(kval)		691	100					1.1.2.1
2	-parinfluenssa2-virus,nukleiinihappo		691	100					1.1.2.1
2	-parinfluenssa3-virus,nukleiinihappo		690	100					1.1.2.1
2	covid-19-koronavirustauti,nhovtm10,vieritutkimus		271	100					1.1.2.1
2	covid-19-koronavirustauti,nuk		268	100					1.1.2.1
2	covid-19-koronavirustauti,nukleiinihappo		1940	100					1.1.2.1
2	covid-19-koronavirustauti,nukleiinihappo(kval)		1271	100					1.1.2.1
2	covid-19-koronavirustauti,nukleiinihappo,osatutkimus		938	100					1.1.2.1
2	covid-19-koronavirustauti,poistettukäytöstä1.11.2023		293	100					1.1.2.1
2	covid-19koronavirus,2019-ncov,pcr-tutkimus		5798	100					1.1.2.1
2	influenssaa,b,rsv,sars-cov-2,		1345	100					1.1.2.1
2	influenssaa,b,rsv,sars-cov-2,(kval),hoitoyks.vieritesti		529	100					1.1.2.1
2	influenssaa,b,rsv,sars-cov-2,(kval)hoitoyks.vieritesti		296	100					1.1.2.1
2	influenssaa,b,rsvjacovid-19nukleiinihappo(kval)		274	100					1.1.2.1
2	influenssaa-virus,nukleiinih		435	100					1.1.2.1
2	influenssaa-virus,nukleiinihappo(kval)		4276	100					1.1.2.1
2	influenssaajab,cv19jarsvantigeeni(kval)		178	100					1.1.2.1
2	influenssaajabjarsvjacovid-19nukleiinihappo(kval)		217	100					1.1.2.1
2	influenssaavirus,nukleiinih		1347	100					1.1.2.1
2	influenssaavirus,nukleiinihappo		292	100					1.1.2.1
2	influenssaavirus,nukleiinihappo(kval)		1196	100					1.1.2.1
2	influenssab-virus,nukleiinih		281	100					1.1.2.1
2	influenssab-virus,nukleiinihappo(kval)		2575	100					1.1.2.1
2	influenssabvirus,nukeliinihappo(kval)		537	100					1.1.2.1
