status	OMOP_CONCEPT_ID	OMOP_CONCEPT_NAME	OMOP_QUANTITY	testId	n_subjects	n_records	p_values_missing_extracted_source	p_outcomes_NA_N_A_AA_L_LL_H_HH	decile_MEASUREMENT_VALUE	ksTest_pValue	ksTest_KS	CONVERSION_FACTOR	decile_MEASUREMENT_VALUE_HARMONIZED	ksTestHarmonized_pValue	ksTestHarmonized_KS	message
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-ghb-a1c [%]	28519	48557	[ 0, 0, 99.7, 0.3]%	[ 55.2, 8.7, 31.7, 0, 0, 0, 4.4, 0]%	[ 5.2, 5.4, 5.54, 5.69, 5.82, 5.99, 6.26, 6.78, 7.8 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-hb-a1c [%]	26814	43586	[ 0, 0, 99.7, 0.3]%	[ 48.2, 8.1, 26, 0, 0, 0, 17.7, 0]%	[ 5.26, 5.42, 5.59, 5.75, 5.91, 6.13, 6.42, 6.86, 7.68 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-hba1cvt [%]	1172	7621	[ 0, 0, 99.5, 0.5]%	[ 20.5, 12.2, 67.3, 0, 0, 0, 0, 0]%	[ 5.82, 6.13, 6.39, 6.64, 6.91, 7.22, 7.56, 8, 8.69 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-hba1c [%]	563	777	[ 0, 0, 97.6, 2.4]%	[ 49, 2.6, 41.2, 0, 0, 0, 7.2, 0]%	[ 5.3, 5.51, 5.7, 5.88, 6.03, 6.27, 6.63, 7.17, 8.15 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-ghb-a1c,tk [%]	2244	5304	[ 0.2, 0, 99.8, 0]%	[ 100, 0, 0, 0, 0, 0, 0, 0]%	[ 5.43, 5.75, 6.16, 6.59, 7.03, 7.45, 7.9, 8.43, 9.33 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-ghba1cp [%]	487	888	[ 0, 0, 98.3, 1.7]%	[ 44.5, 10.4, 45.2, 0, 0, 0, 0, 0]%	[ 5.92, 6.12, 6.44, 6.76, 7.06, 7.48, 7.86, 8.3, 9.18 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-ghba1c [%]	2426	3607	[ 0, 0, 100, 0]%	[ 44.2, 2.3, 53.5, 0, 0, 0, 0, 0]%	[ 5.39, 5.56, 5.72, 5.91, 6.1, 6.4, 6.81, 7.39, 8.3 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-ghba1c/p [%]	221	506	[ 0, 0, 100, 0]%	[ 0, 13.6, 0, 0, 0, 0, 86.4, 0]%	[ 5.92, 6.26, 6.56, 6.87, 7.11, 7.44, 7.85, 8.32, 9.46 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-ghba1c/pika [%]	356	719	[ 0.1, 0, 99.9, 0]%	[ 0, 21, 0, 0, 0, 0, 79, 0]%	[ 5.73, 6.02, 6.31, 6.55, 6.84, 7.15, 7.51, 7.98, 8.84 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
APPROVED	3004410	Hemoglobin A1c/Hemoglobin.total in Blood	Mass fraction	b-ghba1c/ [%]	179	566	[ 0.4, 0, 99.6, 0]%	[ 0, 33.9, 0, 0, 0, 0, 66.1, 0]%	[ 5.6, 5.81, 6, 6.18, 6.39, 6.61, 6.82, 7.16, 7.69 % ]	0	0.9	10.93*X-23.50	[ NA, NA, NA, NA, NA, NA, NA, NA, NA mmol/mol ]			
