axe_name	name	concept_id	n_codes	n_events
component	Hemoglobin	40795725	130	30658802
component	Observation	1093759	127	19099066
component	Erythrocytes	40789120	64	12187960
component	Leukocytes	40782521	126	12024159
component	Erythrocyte/Blood	1471944	29	11407235
component	Platelets	40779159	19	11196211
component	Creatinine	40775801	80	9559920
component	Potassium	40792413	61	7976034
component	Sodium	40782562	63	7836829
component	C reactive protein	40779184	197	6881941
component	Glomerular filtration rate	1029770	84	6240111
component	CBC panel	37051746	5	6172064
component	Alanine aminotransferase	40782579	21	5367314
component	Bacteria	40772507	32	3027518
component	INR	40779364	88	2812069
component	Alkaline phosphatase	40789190	13	2756532
component	Neutrophils	40785788	48	2694055
component	Hemoglobin A1c/Hemoglobin.total	37056065	88	2419123
component	Glucose	3968605	116	2411012
component	Cholesterol in LDL	40795800	47	2347979
component	Normoblasts	40796050	22	2299398
component	pH	40785817	92	2272494
component	Thyrotropin	40795727	47	2174311
component	Albumin	40791227	80	2081573
component	Cholesterol	40772590	35	2074540
component	Cholesterol in HDL	40782589	41	2024003
component	Glucose^post CFst	1021844	48	1997678
component	Calcium.ionized^^adjusted to pH 7.4	1023099	78	1748819
component	Triglyceride^post CFst	1022952	17	1655520
component	Eosinophils	40795733	35	1618391
component	Lymphocytes	40772531	42	1557267
component	Thyroxine free	40782883	28	1539345
component	Basophils	40785796	26	1519691
component	Monocytes	40785793	29	1513142
component	Bilirubin	40779224	19	1512475
component	Lymphocytes/leukocytes	37021613	92	1475101
component	Monocytes/leukocytes	37028463	51	1452186
component	Basophils/leukocytes	37062621	48	1446628
component	Eosinophils/leukocytes	37077477	54	1434138
component	Erythrocyte sedimentation rate	1471105	7	1426097
component	Neutrophils/leukocytes	37064170	62	1413613
component	Urinalysis macro (dipstick) panel	37025543	6	1393084
component	Calcium.ionized	40775880	78	1345884
component	12 lead EKG panel	37023739	2	1163408
component	Gamma glutamyl transferase	40782597	17	1024731
component	Differential panel, method unspecified	37067392	2	1020069
component	SARS-CoV-2 (COVID-19) RNA	36661507	6	996958
component	Ketones	40792455	18	935210
component	Nitrite	40775795	10	919087
component	Short blood count panel	37038746	8	872285
component	Carbon dioxide	40789180	19	766557
component	Ferritin	40772593	13	725861
component	Leukocyte esterase	40775898	3	687408
component	Prostate specific Ag	40779420	39	674775
component	Oxygen	40775815	18	641307
component	Base excess	40795795	21	638655
component	Gas panel	37044382	14	619379
component	Troponin T.cardiac	40776031	60	599869
component	Blood group antibody screen	1472104	2	590172
component	Albumin/Creatinine	37039737	31	588386
component	Protein	40779250	36	586844
component	Bicarbonate	40792440	60	580127
component	Urinalysis microscopic panel	37062638	3	557289
component	Calcium	40785850	33	540872
component	Lipid panel	1762344	4	529561
component	Chloride	40785869	19	528307
component	Pathology biopsy report	40772303	20	523474
component	Aspartate aminotransferase	40785861	14	513305
component	25-Hydroxyvitamin D3+25-Hydroxyvitamin D2	37077414	28	509831
component	Lactate	40785884	59	509384
component	EKG study	1992662	10	506024
component	CBC W Ordered Manual Differential panel	37036000	3	490892
component	Coagulation tissue factor induced actual/Normal	37025549	17	484673
component	ABO and Rh group	40776356	4	473481
component	Carboxyhemoglobin/Hemoglobin.total	37026339	20	462998
component	Bicarbonate^^standard	1023095	27	462530
component	Methemoglobin/Hemoglobin.total	37074202	12	457306
component	Oxygen saturation	37031553	17	447656
component	Prostate specific Ag.free/Prostate specific Ag.total	37037292	47	441698
component	Casts	40792336	20	419520
component	Holo-transcobalamin II	37059306	7	404765
component	Amylase	40775876	23	397167
component	Natriuretic peptide.B prohormone N-Terminal	21496993	59	390817
component	Phosphate	40779176	14	378156
component	Blood type and Crossmatch panel	37074242	1	354396
component	Triglyceride	40772572	30	344681
component	Oxyhemoglobin/Hemoglobin.total	37078943	20	340118
component	Folate	40785879	22	338797
component	Sodium and Potassium panel	37045646	2	328037
component	Troponin I.cardiac	37073332	25	323924
component	Urea	40795713	25	318422
component	Urate	40795826	26	314859
component	Creatine kinase	40782593	12	297958
component	Transferrin receptor.soluble	37040130	15	285465
component	Epithelial cells	40772505	24	278115
component	Magnesium	40795717	13	270301
component	Oxygen capacity	37038520	4	257858
component	Calcium^^corrected for albumin	1023100	17	250713
component	Chlamydia trachomatis DNA	40786382	2	242755
component	Lactate dehydrogenase	40775849	12	238282
component	Epithelial cells.non-squamous	40773009	12	237764
component	Cholesterol.in HDL/Cholesterol.total	37051349	7	236608
component	Prostate Specific Ag Free	40795963	17	236561
component	Epithelial cells.squamous	40781790	4	227680
component	HIV 1 and 2 tests - Meaningful Use set	37051076	1	209479
component	Iron	40775896	15	207654
component	Neisseria gonorrhoeae DNA	40773130	2	205474
component	Transferrin	40779258	17	191693
component	Blasts/leukocytes	37074858	9	186024
component	Fibrin D-dimer	40785907	52	183051
component	Myelocytes/leukocytes	37071963	9	182740
component	Iron/Transferrin	37076807	38	180828
component	Carcinoembryonic Ag	40796053	11	180535
component	Promyelocytes/leukocytes	37063622	7	177088
component	Metamyelocytes/leukocytes	37075634	14	173236
component	Parathyrin.intact	40779242	4	167377
component	Calprotectin	37045106	5	164242
component	Streptococcus.beta-hemolytic	40775861	1	159335
component	Cobalamin	1018451	28	153899
component	Methicillin resistant Staphylococcus aureus	1012565	6	153221
component	Tissue Transglutaminase IgA	37053497	20	151122
component	Bilirubin.glucuronidated	40775879	11	150241
component	aPTT	40775918	11	149660
component	Hepatitis B virus surface Ag	40796247	2	147462
component	IgA	40785813	12	145636
component	Microorganisms panel	37054651	1	144188
component	Influenza virus A RNA	40783120	3	142013
component	Reticulocytes/Erythrocytes	1471063	3	135278
component	Influenza virus B RNA	40786436	2	129826
component	Respiratory syncytial virus RNA	40779837	2	129044
component	Treponema pallidum Ab	40786492	8	119525
component	Rheumatoid factor	40776003	56	114517
component	Amylase.pancreatic	40789191	12	113346
component	Cells panel	37073856	5	111359
component	Cortisol	40779122	14	109106
component	Transferrin.carbohydrate deficient.disialo/Transferrin.total	37064738	9	108678
component	IgG	40782534	20	107440
component	Triiodothyronine Free	40786177	15	105869
component	Reticulocytes	40789266	4	103543
component	Cyclic citrullinated peptide Ab	40776400	11	103227
component	Cholesterol.in LDL/Cholesterol.in HDL	37067673	8	102409
component	Prealbumin	40792464	18	102147
component	Base excess.100% oxygenated^^standard	1023093	3	101737
component	Hepatitis C virus Ab	40796248	1	100548
component	Nuclear Ab	40779503	23	99502
component	Choriogonadotropin	40775824	17	98732
component	Natriuretic peptide B	37078027	4	97925
component	Tacrolimus	40789181	5	95949
component	Oxygen^^adjusted to patient's actual temperature	1023220	6	93244
component	Testosterone	40779116	11	93098
component	Body temperature	1029358	9	93063
component	Hyaline casts	40772695	8	90944
component	Glucose tolerance 2 hours panel	37048668	4	90712
component	Streptococcus pyogenes Ag	40783169	4	86750
component	Cancer Ag 19-9	40775775	15	83710
component	Borrelia burgdorferi IgM	40786362	15	83211
component	Protein electrophoresis panel	37069571	4	81766
component	Fungus	40792365	4	80804
component	Creatine kinase.MB	40782594	16	80308
component	Cancer Ag 125	40782528	14	77205
component	Path report.gross observation	1029242	1	77007
component	Cytology report	40797823	5	76827
component	Anion gap	40789527	6	73574
component	Study observation	37022351	1	72045
component	Polysomnography study	1992671	5	69533
component	cloZAPine	40789334	7	66864
component	Cholesterol non HDL	37045117	3	66002
component	Cytomegalovirus DNA	40786394	8	64352
component	Public health laboratory ask at order entry panel	1015167	1	62951
component	Cystatin C	40796112	8	62034
component	cycloSPORINE	40775936	6	61025
component	Hepatitis B virus core Ab	40796246	1	59489
component	Clostridioides difficile toxin genes	37027091	2	55043
component	IgM	40785814	9	54221
component	Cannabinoids	40785915	2	53591
component	Benzodiazepines	40782553	2	52864
component	Drugs	40789381	2	52388
component	Opiates	40782531	1	52282
component	Hemoglobin.gastrointestinal	40772594	1	51660
component	Amphetamines	40789232	2	50457
component	Cocaine	40772627	1	50225
component	Oxygen content	40772930	13	48410
component	SARS-CoV-2 (COVID-19) Ag	36661764	4	48202
component	Follitropin	40772528	14	48059
component	Kappa light chains.free	40789488	4	47803
component	Lambda light chains.free	40779523	4	47682
component	Norclozapine	40779415	5	47586
component	Coagulation factor X inhibitor	37056481	4	47280
component	Celiac disease serology panel	36662010	3	46498
component	Buprenorphine	40779268	6	46210
