TEST_NAME	UNIT	n	p_missing	deciles
b-hb	g/l	10951518	0.02	[98.65, 110.23, 118.71, 125.05, 130.33, 134.98, 139.62, 144.85, 152.03]
e-mcv	fl	10892044	0.03	[84.77, 86.99, 88.78, 90, 91.06, 92.71, 94.02, 95.93, 98.65]
e-mch	pg	10891948	0.03	[27.78, 29, 29.01, 30, 30, 31, 31.01, 32, 33]
b-eryt	e12/l	10760759	0.03	[3.32, 3.71, 3.98, 4.18, 4.35, 4.5, 4.66, 4.84, 5.08]
b-trom	e9/l	10342021	0.03	[154.08, 186.49, 209, 228.67, 247.56, 267.42, 290.64, 321.05, 373.98]
b-leuk	e9/l	10239427	0.03	[4.34, 5.12, 5.71, 6.27, 6.86, 7.51, 8.32, 9.46, 11.52]
p-krea	umol/l	7691232	0.02	[53.36, 60.07, 65.39, 70.45, 75.85, 82.17, 90.48, 103.74, 136.65]
p-k	mmol/l	7443357	0.03	[3.5, 3.69, 3.8, 3.9, 4, 4.1, 4.2, 4.35, 4.57]
p-na	mmol/l	7320578	0.03	[133.91, 136.27, 137.98, 138.99, 139.95, 140, 141, 142, 143]
e-mchc	g/l	7123092	0	[314.69, 320.67, 324.6, 327.8, 330.89, 333.47, 336.89, 340.48, 345.7]
e-rdw	%	6286877	0.06	[12.49, 13, 13, 13.49, 14, 14.02, 15, 15.81, 17.01]
b-hkr	osuus	5806054	0.05	[0.3, 0.34, 0.36, 0.38, 0.39, 0.41, 0.42, 0.44, 0.46]
b-hkr	%	5020904	0	[29.31, 32.98, 35.92, 37.91, 39.05, 40.64, 42, 43.15, 45.4]
p-alat	u/l	4827160	0.01	[12.95, 15.9, 18.51, 21.22, 24.26, 28, 33.14, 41.57, 60.9]
b-pvk+t	NA	4547373	100	[1, 1, 1, 1, 1, 1, 1, 1, 1]
p-crp	mg/l	4268518	0.67	[2.92, 4.96, 8.11, 13.13, 21.43, 33.56, 52.29, 80.78, 133.6]
pt-gfreepi	ml/min/173m2	2742086	0	[38.31, 54.31, 64.79, 73.18, 80.24, 86.07, 91.22, 97.25, 106.29]
p-afos	u/l	2633385	0.01	[49.38, 57.42, 63.93, 70.22, 76.89, 84.76, 95, 111.35, 151.36]
pt-gfre	ml/min/173m2	2566220	0.07	[41.32, 57.08, 67.31, 75.22, 81.88, 87.18, 92.27, 97.96, 106.45]
b-neut	e9/l	2483496	0.04	[1.67, 2.27, 2.74, 3.18, 3.64, 4.16, 4.82, 5.75, 7.51]
b-hba1c	mmol/mol	1976825	0	[32.95, 35.01, 36.64, 38.03, 39.79, 41.6, 44.59, 49.73, 59.87]
fp-gluk	mmol/l	1905856	0.01	[5.02, 5.27, 5.47, 5.65, 5.84, 6.07, 6.39, 6.86, 7.86]
p-crp	NA	1815991	100	[6.82, 10.29, 14.39, 20.52, 28.92, 40.14, 52.53, 72.49, 108.3]
p-tsh	mu/l	1660849	0.06	[0.53, 0.92, 1.22, 1.5, 1.78, 2.11, 2.53, 3.11, 4.2]
fp-kol-ldl	mmol/l	1560647	0	[1.48, 1.81, 2.09, 2.35, 2.62, 2.89, 3.2, 3.59, 4.11]
b-eos	e9/l	1476331	0.02	[0.02, 0.07, 0.1, 0.12, 0.15, 0.19, 0.23, 0.3, 0.4]
p-bil	umol/l	1420468	0.09	[5, 6, 7, 8.01, 9.15, 10.92, 12.96, 16.55, 24.99]
fp-kol	mmol/l	1407523	0	[3.2, 3.63, 3.97, 4.28, 4.58, 4.87, 5.21, 5.6, 6.16]
b-la	mm/h	1389512	0.01	[2, 3.64, 5, 6.97, 8.81, 12.15, 16.49, 24.43, 37.82]
b-baso	e9/l	1385762	0.02	[0, 0.02, 0.02, 0.03, 0.04, 0.04, 0.05, 0.07, 0.1]
p-tt-inr	inr	1367890	0.06	[1, 1, 1.1, 1.2, 1.54, 2.01, 2.3, 2.59, 3]
fp-kol-hdl	mmol/l	1347508	0	[0.95, 1.09, 1.19, 1.29, 1.4, 1.5, 1.63, 1.79, 2.04]
fp-trigly	mmol/l	1344460	0	[0.7, 0.83, 0.95, 1.08, 1.22, 1.38, 1.59, 1.88, 2.41]
b-monos	e9/l	1340296	0.02	[0.32, 0.4, 0.46, 0.51, 0.57, 0.62, 0.69, 0.78, 0.93]
u-kemseul	NA	1336031	100	[0, 1.01, 1.01, 1.02, 1.02, 1.02, 4.17, 5.87, 6.26]
u-baktvi	NA	1324678	99.99	[106.83, 10000, 1e+05, 754545.45, 1e+06, 1e+07, 1e+08, 1e+08, 1e+08]
p-gluk	mmol/l	1223428	0.04	[5.09, 5.48, 5.82, 6.18, 6.6, 7.13, 7.83, 8.84, 10.8]
b-erybla	e9/l	1216146	0.32	[0, 0, 0, 0, 0, 0, 0, 0, 0]
p-inr	inr	1167659	0	[1.02, 1.3, 1.86, 2.1, 2.28, 2.44, 2.61, 2.82, 3.18]
b-ly	e9/l	1121029	0	[0.88, 1.16, 1.37, 1.56, 1.74, 1.94, 2.17, 2.47, 2.94]
p-t4-v	pmol/l	1108128	0.01	[11.98, 13.02, 13.95, 14.63, 15.23, 16.03, 16.92, 17.94, 19.56]
b-pvk	NA	1084645	100	NA
b-diffi	NA	1003156	100	NA
l-eos	%	964489	0.03	[0.01, 1, 1.12, 2, 2.06, 3, 3.57, 4.24, 6.04]
l-baso	%	947958	0.03	[0, 0, 0.04, 1, 1, 1, 1, 1, 1]
p-alb	g/l	922759	0.01	[24.72, 28.89, 31.9, 33.92, 35.38, 36.98, 38.03, 39.47, 41.07]
-cv19nho	NA	891531	100	NA
p-gt	u/l	820178	0.02	[14.56, 18.66, 23.05, 28.6, 36.08, 47.26, 65.76, 101.29, 195.48]
fp-krea	umol/l	766238	0	[55.85, 62.49, 67.69, 72.75, 77.99, 84.21, 92.33, 105.55, 140.92]
ekg-12	NA	682070	99.99	NA
u-gluk-o	NA	658060	100	[0, 0, 0, 0, 0, 0, 0, 0, 0]
u-nitr-o	NA	653227	100	[0, 0, 0, 0, 0, 0, 0, 0, 0]
u-keto-o	NA	649249	100	[0, 0, 0, 0, 0, 0, 0, 0, 0]
l-neut(a)	%	640230	0	[41.15, 47.54, 51.83, 55.43, 58.76, 62.17, 65.93, 70.42, 77.12]
l-lymf(a)	%	640128	0	[11.85, 16.87, 20.77, 24.14, 27.24, 30.32, 33.67, 37.7, 43.71]
l-mono(a)	%	639581	0	[5.92, 7, 7.75, 8, 9, 9.93, 10.59, 11.71, 13.4]
u-ph	form	633899	0	[5, 5, 5.06, 5.5, 6, 6, 6.5, 7, 7]
b-erblast	e9/l	628381	0	[0, 0, 0, 0, 0, 0, 0, 0, 0]
u-solut	NA	563134	99.98	NA
u-leuk-o	NA	542867	100	[0, 0, 0, 0, 0, 0, 0, 0.38, 2.21]
b-pvkt	NA	540592	100	NA
s-ca-ion	mmol/l	507827	4.35	[1.14, 1.18, 1.2, 1.21, 1.23, 1.24, 1.26, 1.28, 1.31]
b-baktvi	NA	506538	100	NA
u-krea	mmol/l	492039	0.02	[3.07, 4.06, 4.94, 5.85, 6.8, 7.92, 9.3, 11.16, 14.18]
pt-ekg-12	NA	486832	99.6	[0, 0, 0, 0, 0, 0, 0.41, 1, 1]
p-ferrit	ug/l	480384	0.01	[14.04, 23.3, 34.39, 48.45, 67.8, 96.39, 142.19, 224.71, 422.98]
p-tt	%	472003	0.01	[50.44, 65.04, 74.28, 81.62, 88.26, 94.73, 101.62, 109.77, 121.26]
b-tvk	NA	466809	100	NA
l-monos	%	466638	0.06	[5.33, 6.91, 7.39, 8, 9, 9.83, 10.31, 11.56, 13.22]
p-asat	u/l	466423	0.01	[16.52, 19.38, 21.95, 24.28, 26.91, 30.23, 35.2, 44.52, 70.22]
u-leuk	e6/l	451865	0.07	[0.76, 1.02, 2, 3.02, 4.72, 8.23, 16.71, 47.85, 224.78]
p-cl	mmol/l	441381	0	[97.97, 100.96, 102.96, 104, 105.31, 106.53, 107.89, 109, 111]
p-psa	ug/l	440363	0.2	[0.25, 0.52, 0.82, 1.21, 1.75, 2.56, 3.84, 5.94, 10.7]
p-tnt	ng/l	437584	0.96	[6.97, 9.13, 11.78, 15.03, 19.12, 24.8, 33.92, 51.22, 106.22]
u-eryt	e6/l	431902	0.07	[2.29, 4.03, 5.74, 7.63, 10.05, 13.35, 18.91, 31.11, 87.81]
p-ca	mmol/l	424377	0.01	[2.21, 2.27, 2.31, 2.34, 2.37, 2.4, 2.44, 2.48, 2.53]
p-kol-ldl	mmol/l	417267	0	[1.29, 1.55, 1.78, 2.02, 2.27, 2.56, 2.89, 3.29, 3.83]
p-ca-iona	mmol/l	409206	0	[1.04, 1.08, 1.11, 1.13, 1.15, 1.17, 1.19, 1.21, 1.25]
fb-leuk	e9/l	405009	0	[4.47, 5.12, 5.64, 6.14, 6.63, 7.19, 7.87, 8.78, 10.41]
l-neut	%	402981	0.07	[41.67, 47.82, 52.03, 55.45, 58.71, 61.95, 65.57, 69.91, 76.32]
b-tromb	e9/l	398401	0	[163.25, 190.27, 209.94, 227.54, 244.62, 263.03, 284.73, 312.98, 361.01]
s-ph	1	396621	0	[7.36, 7.38, 7.39, 7.4, 7.4, 7.42, 7.42, 7.43, 7.45]
s-d-25	nmol/l	395823	0.01	[46.36, 55.93, 63.01, 69.31, 75.64, 82.24, 89.82, 100.01, 116.27]
ab-pco2	kpa	395447	0	[4.11, 4.49, 4.75, 4.98, 5.18, 5.38, 5.61, 5.92, 6.48]
s-ca-iona	mmol/l	394912	0	[1.14, 1.18, 1.2, 1.22, 1.23, 1.25, 1.26, 1.29, 1.32]
ab-po2	kpa	394855	0	[8.14, 9.08, 9.85, 10.61, 11.43, 12.45, 13.85, 16.24, 21.55]
u-baktjvi	NA	390824	100	NA
ab-ph	ph	383652	0	[7.37, 7.39, 7.41, 7.42, 7.43, 7.44, 7.45, 7.47, 7.48]
ab-be	mmol/l	383270	0	[-4.56, -2.34, -0.92, 0.19, 1, 1.86, 2.86, 4.15, 6.27]
b-leukosyytit	e9/l	382408	0	[4.37, 5.12, 5.71, 6.25, 6.81, 7.45, 8.22, 9.31, 11.29]
u-bakt	NA	377251	99.78	[0, 0, 0, 0, 0, 0, 0, 0, 0]
p-amyl	u/l	368852	0.02	[26.2, 33.98, 40.36, 46.26, 52.37, 59.2, 67.68, 79.78, 104.76]
p-ca-ion.	mmol/l	360997	0	[1.03, 1.08, 1.11, 1.13, 1.15, 1.18, 1.2, 1.22, 1.25]
p-probnp	ng/l	359849	0.15	[81.2, 146.4, 247.63, 415.79, 698.77, 1148.9, 1849.99, 3098.93, 6287.35]
b-xkoe	NA	356232	100	NA
u-lier	e6/l	351179	0.07	[0, 0, 0, 0, 0, 0, 0.12, 0.75, 1.28]
u-hb-o	NA	350964	99.82	[0, 0, 0, 0, 1, 1, 1, 2, 3]
u-prot-o	NA	348502	100	[0, 0, 0, 0, 0, 0, 0, 0, 0]
b-pvk+tkd	NA	347141	99.77	[1, 1, 1, 1, 1, 1, 1, 1, 1]
fp-lipidit	NA	336865	100	NA
b-trombosyytit	e9/l	330754	0	[153.85, 184.89, 206.93, 226.01, 244.51, 264.05, 287.04, 316.02, 365.87]
b-erytrosyytit	e12/l	324203	0	[3.32, 3.72, 3.99, 4.19, 4.34, 4.5, 4.65, 4.82, 5.08]
