TEST_NAME	MEASUREMENT_UNIT	TEST_ID	n_subjects
e-mcv	fl	1357	459066
e-mch	pg	1558	458862
b-hb	g/l	1552	458728
b-eryt	e12/l	1341	444776
b-trom	e9/l	2791	443245
b-leuk	e9/l	2218	442321
p-na	mmol/l	3622	389450
p-k	mmol/l	1999	388550
b-pvk+t	NA	2474	384275
p-alat	u/l	1024	380269
p-krea	umol/l	4600	358856
e-mchc	g/l	1557	354062
fp-gluk	mmol/l	1468	335693
b-hba1c	mmol/mol	6128	325923
p-crp	mg/l	4594	290528
b-hkr	%	1358	289015
fp-kol-ldl	mmol/l	4599	284756
fp-kol	mmol/l	4515	278856
p-crp	NA	4594	278740
fp-kol-hdl	mmol/l	4516	274880
p-afos	u/l	4587	271084
p-tsh	mu/l	4831	269634
fp-trigly	mmol/l	4568	267659
b-la	mm/h	2203	266678
-cv19nho	NA	6466	264796
pt-ekg-12	NA	1270	259322
u-kemseul	NA	1881	252201
u-baktvi	NA	1155	246898
b-hkr	osuus	1358	239281
p-gluk	mmol/l	1471	214054
p-t4-v	pmol/l	4832	210731
b-leuk	NA	2218	205363
b-eryt	NA	1341	204083
e-rdw	%	20408	194665
p-gt	u/l	4597	194031
p-bil	umol/l	4592	186625
b-trom	NA	2791	178926
b-neut	e9/l	3238	169142
p-alb	g/l	4586	142243
b-baso	e9/l	3157	133097
b-monos	e9/l	3230	132494
s-d-25	nmol/l	1220	130907
b-ly	e9/l	3223	130657
b-xkoe	NA	2935	129046
b-diffi	NA	2225	128830
b-eos	e9/l	1330	128559
pt-gfre	ml/min/173m2	6354	125867
ts-pad-1	NA	4054	121911
b-hkr	NA	1358	120158
p-tt-inr	NA	4520	119477
pt-gfre	NA	6354	116373
p-asat	u/l	4591	113802
u-leuk-o	NA	2223	113780
u-gluk-o	NA	1479	109109
s-alat	u/l	1026	108272
u-nitr-o	NA	3094	107837
s-vrab-o	NA	2953	107387
p-amyl	u/l	4589	106819
p-ferrit	ug/l	4826	106753
u-solut	NA	1940	106685
u-keto-o	NA	1122	106306
fs-krea	umol/l	2143	105032
fs-trigly	mmol/l	2770	102602
fs-kol	mmol/l	2095	102410
e-aborh	NA	2951	102326
fs-kol-ldl	mmol/l	2099	102308
fs-kol-hdl	mmol/l	2097	102222
b-baktvi	NA	1153	101961
p-ck	u/l	4517	100788
p-kol-ldl	mmol/l	6433	100202
u-baktjvi	NA	3777	98954
p-tt	%	1731	97804
fp-krea	umol/l	2142	96926
p-tnt	ng/l	4532	94619
p-k	NA	1999	92870
s-tsh	mu/l	2832	92690
s-t4-v	pmol/l	2836	92121
u-ph	NA	1530	91855
e-rdw	%	19976	91679
b-erybla	e9/l	19978	89971
pt-gfreepi	ml/min/173m2	21218	89172
l-eos	%	1332	88088
fp-lipidit	NA	6027	86979
l-baso	%	1168	86426
b-tvk	NA	3696	84346
u-krea	mmol/l	2145	83548
p-probnp	ng/l	4760	83377
s-gt	u/l	1489	82858
u-leuk	e6/l	2221	81966
p-kol	mmol/l	6429	81863
b-bio-0	NA	21454	81270
b-pvk	NA	2474	81157
b-hb	NA	1552	80110
p-alat	NA	1024	78910
p-trigly	mmol/l	4530	78886
p-kol-hdl	mmol/l	6431	78640
s-b12-tc2	NA	1142	78304
s-b12-tc2	pmol/l	1142	76542
u-eryt-o	NA	1345	74864
s-ferrit	ug/l	1395	73873
e-mcv	NA	1357	73361
p-ca	mmol/l	4598	73337
e-mch	NA	1558	72629
s-hivagab	NA	4814	71665
fs-folaat	nmol/l	1416	71503
b-hkr	NA	3001358	71373
b-leuk	NA	3002218	70466
e-mch	NA	3001558	70088
e-mcv	NA	3001357	70084
b-eryt	NA	3001341	70083
b-trom	NA	3002791	70080
p-psa	ug/l	4869	69174
b-neut	NA	3238	68566
p-na	NA	3622	67849
l-neut(a)	%	398	67584
l-mono(a)	%	399	67538
l-lymf(a)	%	9235	67454
ps-strvi	NA	2703	67395
u-bakt	NA	20034	67042
p-uraat	umol/l	4533	65819
b-hb	NA	3001552	65625
s-crp	mg/l	1216	65375
pt-gfreepi	ml/min/173m2	6354	64986
fp-gluk	NA	1468	63451
pt-papa-1	NA	4044	62954
s-crp	NA	1216	59792
u-prot-o	NA	2529	59605
p-vrab-o	NA	4577	59045
s-k	mmol/l	2001	58803
p-aptt	s	2783	58326
pt-gfre	ml/min/173m2	10083	58285
s-hbsag	NA	1605	58088
p-k	NA	3001999	57885
u-albkre	mg/mmol	4511	57474
s-ttgaba	NA	1885	57317
p-na	NA	3003622	57187
pt-ekg-atk	NA	1272	56398
b-hb	g/l	3001552	56325
u-alb	mg/l	1029	56007
b-eryt	e12/l	3001341	55538
s-ph	NA	8523	55517
e-mch	pg	3001558	55502
e-mcv	fl	3001357	55501
b-trom	e9/l	3002791	55491
u-albkre	NA	4511	55209
u-alb-o	NA	1030	55141
u-eryt	e6/l	1344	55063
s-ca-iona	mmol/l	8524	54916
s-na	mmol/l	2382	54896
s-ca-ion	mmol/l	9010	54816
fs-lipidit	NA	2245	54670
p-mg	mmol/l	4601	54554
p-fidd	mg/l	4113	54434
b-hba1c	NA	6128	54310
b-leuk	e9/l	3002218	54145
p-tsh	NA	4831	53410
b-pvk+tkd	NA	2475	52512
p-tfr	mg/l	4720	52377
pu-baktvi1	NA	3491	52318
pt-gfreepi	ml/min/173m2	13470	51560
s-tsh	miu/l	2832	51307
u-suhti	NA	2715	51159
b-monos	NA	3230	50647
p-krea	NA	4600	50409
b-ly	NA	3223	50254
b-erblast	NA	8518	50194
ts-pad-3	NA	4056	50037
-infanho	NA	4896	49799
u-solut	NA	20033	49549
fp-kol-ldl	NA	4599	49380
s-hcvab	NA	3815	49306
e-vrtark	NA	9228	49006
b-baso	NA	3157	48121
e-mchc	g/l	3001557	47778
p-tni	ng/l	4531	47729
e-rdw	%	11086	47646
b-eos	NA	1330	47576
fp-gluk	NA	3001468	47434
u-leuk	NA	2221	47292
p-k	mmol/l	3001999	47268
ts-padgast	NA	4043	47216
p-na	mmol/l	3003622	46749
b-pvkt	NA	2474	46667
s-ca-ion	mmol/l	2019	46609
u-chtrnho	NA	4206	46068
s-cdt	%	4101	45655
u-alb	NA	1029	45503
ps-straag	NA	3635	44429
p-tnt	NA	4532	43764
u-eryt	NA	1344	43649
u-lier	e6/l	19006	43465
p-tt-inr	inr	4520	43289
pt-ekg-12	NA	3001270	43165
b-erblast	e9/l	8518	42826
b-pvkt	NA	3002474	42620
u-gcnho	NA	4937	42468
b-hkr	%	3001358	42327
e-rdw	%	619260	42312
e-mchc	NA	3001557	42310
s-ana	NA	2819	41736
pu-baktvi2	NA	3492	41716
ab-pco2	kpa	1621	41032
ab-ph	NA	1527	41024
ab-po2	kpa	1535	41002
p-ld	u/l	4526	40997
p-cl	mmol/l	2080	40953
ts-padcolo	NA	4764	40945
p-vrab-o	NA	2953	40835
u-kemseul	NA	3001881	40669
u-levyep	NA	20524	40607
s-b12-vit	pmol/l	1137	40566
fp-kol	NA	4515	40497
fp-transf	g/l	4567	40483
u-pienep	NA	20525	40416
-infbnho	NA	6194	40117
-rsvnho	NA	6198	40106
u-lier	NA	19006	39736
u-nitr-o	NA	21705	39643
fe-folaat	nmol/l	1414	39633
u-hb-o	NA	21704	39462
u-gluk-o	NA	21706	39459
u-keto-o	NA	21707	39456
u-prot-o	NA	21708	39452
u-ph	NA	21701	39384
u-baktvi	NA	3001155	38764
b-leukosyytit	e9/l	2218	38681
f-calpro	ug/g	4803	38299
e-vrtark	NA	11807	38136
u-keto-o	estimate	1122	37877
fp-fe	umol/l	4529	37874
s-ca-ion	NA	2019	37792
u-ctgcnho	NA	4816	37782
u-leuk.	NA	21703	37584
fp-gluk	mmol/l	3001468	37271
e-rdw	NA	619260	37238
u-nitr-o	estimate	3094	37121
pt-gfreepi	NA	645140	36959
p-krea	umol/l	605262	36878
u-gluk-o	estimate	1479	36821
-mrsavi	NA	4358	36751
u-alb-o	estimate	1030	36513
p-bil-kj	umol/l	4593	35413
fp-trigly	NA	4568	35372
pt-gfre	NA	600023	35342
p-krea	umol/l	2142	35237
s-ccpab	NA	4744	34848
u-hb-o	NA	1556	34844
u-eryt-o	estimate	1345	34826
tth-screen	NA	10669	34712
u-leuk-o	estimate	2223	34587
p-alat	u/l	605242	34577
p-crp	NA	605241	34354
p-psa-v	ug/l	4900	33629
e-retik	%	2582	33200
ts-pad-ih	NA	4191	33134
vb-pco2	kpa	1623	33042
fp-kol-hdl	NA	4516	32929
s-psa	ug/l	3642	32436
s-hbcab	NA	1606	32320
p-inr	NA	4520	32111
p-krea	NA	605262	32093
l-monos	%	693	32061
l-baso	%	692	32047
l-eos	%	690	32028
l-lymf	%	46	32024
-chtrnho	NA	4807	32003
hdl/kol	%	505	31991
pt-gfreepi	NA	21218	31640
p-gluk	NA	1471	31557
b-lymf	e9/l	43	31555
vb-ph	NA	1531	31505
l-neut	%	688	31355
s-trpaab	NA	4942	31279
p-t4-v	NA	4832	31180
b-baso	e9/l	40	31141
b-monos	e9/l	42	31118
b-eos	e9/l	39	31117
b-neut	e9/l	689	31094
p-amylp	u/l	4590	31041
b-tromb	e9/l	2791	30978
kol/hdlsuh	NA	10067	30832
s-afos	u/l	1046	29972
p-tni	NA	4531	29761
p-tsh	mu/l	649821	29495
p-alat	NA	605242	29490
b-pvk	NA	4601060	29455
p-afos	NA	4587	29048
p-psa-suh	NA	4868	28902
u-osmole	mosm/kgh2o	20479	28896
e-mchc	NA	1557	28890
u-epit	e6/l	10096	28885
ph	NA	595	28784
b-la	NA	2203	28615
s-tfr	mg/l	1949	28544
fb-leuk	e9/l	2218	28372
b-pvk+ne	NA	8370	28056
u-tutkesi	NA	360	27606
fp-kol-ldl	mmol/l	605259	27539
pt-gluk-r1	NA	1483	27217
s-ca(7.4)	mmol/l	5099	27088
s-testo	nmol/l	2735	26717
fp-pi	mmol/l	1431	26679
b-erybla	NA	19978	26616
vb-po2	kpa	1537	26533
p-ck-mbm	ug/l	4525	26432
-gcnho	NA	1723	26359
s-prot	g/l	2516	26172
otettujenpurkkien/putkienlkm	NA	Pur1285	26160
p-iga	g/l	4827	26135
fp-laktaat	mmol/l	2184	26094
p-nak	NA	55014	26054
