concept_id,omop_quantity
3026672,Time (e.g. seconds)
3027200,Time (e.g. seconds)
1988949,Presence or Identity
1988998,Presence or Identity
1989096,Presence or Identity
1989518,Presence or Identity
1989106,Presence or Identity
3010930,Time (e.g. seconds)
1988428,Presence or Identity
1988710,Presence or Identity
1988594,Presence or Identity
1988360,Presence or Identity
1988446,Presence or Identity
1988223,Finding
3028561,Time (e.g. seconds)
1988168,Finding
1989653,Finding
1989295,Type
1988708,Type
1989029,Type
3009874,Time (e.g. seconds)
1988382,Type
1989138,Susceptibility (microorganisms)
1988196,Susceptibility (microorganisms)
1989055,Susceptibility (microorganisms)
1988553,Susceptibility (microorganisms)
1988794,Susceptibility (microorganisms)
1988426,Susceptibility (microorganisms)
1988957,Susceptibility (microorganisms)
1988254,Susceptibility (microorganisms)
1989104,Susceptibility (microorganisms)
1988896,Susceptibility (microorganisms)
1988383,Susceptibility (microorganisms)
1988772,Susceptibility (microorganisms)
1988906,Susceptibility (microorganisms)
1988581,Susceptibility (microorganisms)
1989430,Susceptibility (microorganisms)
1988387,Susceptibility (microorganisms)
3010162,Time (e.g. seconds)
1988433,Susceptibility (microorganisms)
1989598,Susceptibility (microorganisms)
1989363,Susceptibility (microorganisms)
1989654,Susceptibility (microorganisms)
1988642,Susceptibility (microorganisms)
1988619,-
3015898,Time (e.g. seconds)
1989426,-
1988073,Length
1989374,Angle
1988076,Angle
1988908,Number Areic (per area)
1988848,Number Areic (per area)
1988176,Length/Area
3019045,Time (e.g. seconds)
1989539,Length/Area
1989371,Relative Ratio
1988901,Relative Ratio
1989418,Number (count)
1989348,Number (count)
1988971,Area
1989014,Area
1989254,Area
3022311,Time (e.g. seconds)
1989160,Area
1988797,Area
1988539,Area
1989379,Area
1988177,Area
1989390,Type
1988987,Presence or Threshold
1988611,-
1989644,Presence or Threshold
3027844,Presence or Threshold
1989274,Presence or Threshold
1989229,Arbitrary Concentration
1988648,-
1989268,Presence or Threshold
1989139,Presence or Threshold
1988103,Presence or Threshold
1989370,Presence or Threshold
1988735,Presence or Threshold
1988220,Presence or Threshold
3005273,Time (e.g. seconds)
1988342,Presence or Threshold
1988863,Presence or Threshold
1988307,Presence or Threshold
1989457,Presence or Threshold
1989016,Presence or Threshold
1988417,Presence or Threshold
1989608,-
1988821,Presence or Threshold
3010547,Electrical Potential (Voltage)
1989164,Presence or Threshold
1988412,Arbitrary Concentration
1988665,-
1989412,Presence or Threshold
1988635,Presence or Threshold
1988759,-
1988597,-
1988644,Presence or Threshold
3011080,Electrical Potential (Voltage)
1989162,Presence or Threshold
1989620,Presence or Threshold
1989044,Presence or Threshold
1988392,Presence or Threshold
1989519,Presence or Threshold
1988771,-
1988357,Presence or Threshold
1988651,-
3016565,Electrical Potential (Voltage)
1988423,Presence or Threshold
1988265,Arbitrary Concentration
1988186,-
1989618,-
1988374,-
1989399,-
1989226,Titer
1988650,Presence or Threshold
3022197,Electrical Potential (Voltage)
1989342,Presence or Threshold
1989329,Presence or Threshold
1988159,Presence or Threshold
1989317,Presence or Threshold
1989579,Presence or Threshold
1989284,Presence or Threshold
1988578,Presence or Threshold
1989292,Presence or Threshold
1989584,Presence or Threshold
1989107,Presence or Threshold
1989528,Presence or Threshold
1988748,Presence or Threshold
1988621,Presence or Threshold
1988935,Presence or Threshold
1989609,Presence or Threshold
1988676,Presence or Threshold
1988737,-
1988843,-
3023215,Electrical Potential (Voltage)
1989173,-
1989311,Substance Concentration
1989477,Substance Concentration
1989667,Substance Ratio
1988671,Substance Ratio
1989324,Finding
1989195,Type
3023438,Electrical Potential (Voltage)
1989033,Type
1989163,Type
1761744,Mass Concentration
1761683,Finding
1761369,Finding
3000256,Electrical Potential (Voltage)
1761418,Finding
1761769,Angle
1761860,Finding
1761499,Finding
3028375,Presence or Threshold
3003822,Electrical Potential (Voltage)
3002662,Electrical Potential (Voltage)
3001065,Electrical Potential (Voltage)
3019534,Electrical Potential (Voltage)
1761374,Finding
3019525,Electrical Potential (Voltage)
3004586,Time (e.g. seconds)
1761790,-
3003491,Time (e.g. seconds)
1761394,-
3003156,Time (e.g. seconds)
3024333,Presence or Threshold
3001993,Time (e.g. seconds)
3020976,Time (e.g. seconds)
3036939,Time (e.g. seconds)
1761363,Arbitrary Concentration
3037170,Time (e.g. seconds)
3037997,Time (e.g. seconds)
3002744,Time (e.g. seconds)
1761781,Presence or Threshold
1761371,Presence or Threshold
3001568,Time (e.g. seconds)
3019090,Time (e.g. seconds)
3010231,Presence or Threshold
3037593,Time (e.g. seconds)
1761842,Arbitrary Concentration
1761442,Presence or Threshold
1761752,Presence or Threshold
1761540,Presence or Threshold
1761840,-
1761718,Time (e.g. seconds)
3038132,Electrical Potential (Voltage)
1761896,Time (e.g. seconds)
1761803,Score
1761698,Arbitrary Concentration
1761531,Presence or Threshold
1761818,Presence or Threshold
3033831,Electrical Potential (Voltage)
1761594,Presence or Identity
1761464,Presence or Threshold
1761749,Presence or Threshold
1761839,Mass Concentration
3022112,Electrical Potential (Voltage)
1761427,-
3012698,Electrical Potential (Voltage)
1761719,Presence or Identity
1761783,Arbitrary Concentration
1761808,Mass Concentration
1761638,Arbitrary Concentration
1761554,Arbitrary Concentration
1761487,Arbitrary Concentration
1761684,Arbitrary Concentration
1761393,Arbitrary Concentration
1761520,Arbitrary Concentration
1761398,Arbitrary Concentration
1761388,Arbitrary Concentration
1761588,Arbitrary Concentration
1761606,-
1761837,Presence or Threshold
1761399,Arbitrary Concentration
1761688,Arbitrary Concentration
1761430,Arbitrary Concentration
1761778,Arbitrary Concentration
3015703,Electrical Potential (Voltage)
1761561,Arbitrary Concentration
1761381,Arbitrary Concentration
1761534,Arbitrary Concentration
1761623,Arbitrary Concentration
1761892,Arbitrary Concentration
1761634,Arbitrary Concentration
1761565,Arbitrary Concentration
1761359,Arbitrary Concentration
3008449,Electrical Potential (Voltage)
1761671,Arbitrary Concentration
1761593,Arbitrary Concentration
1761366,Arbitrary Concentration
1761444,Arbitrary Concentration
1761794,Arbitrary Concentration
1761481,Arbitrary Concentration
1761332,Arbitrary Concentration
1761477,Arbitrary Concentration
3034195,Electrical Potential (Voltage)
1761345,Arbitrary Concentration
1761863,Arbitrary Concentration
1761899,Arbitrary Concentration
1761665,Arbitrary Concentration
1761508,Arbitrary Concentration
1761796,Arbitrary Concentration
3010475,Presence or Threshold
1761838,Arbitrary Concentration
1761357,Arbitrary Concentration
3034721,Electrical Potential (Voltage)
1761472,Arbitrary Concentration
1761767,Arbitrary Concentration
1761693,Arbitrary Concentration
1761746,Arbitrary Concentration
1761438,Arbitrary Concentration
1761750,Arbitrary Concentration
1761760,Arbitrary Concentration
1761392,Arbitrary Concentration
3022727,Electrical Potential (Voltage)
1761447,Arbitrary Concentration
1761707,Arbitrary Concentration
1761580,Arbitrary Concentration
1761858,Arbitrary Concentration
1761871,Mass Concentration
1761493,Mass Concentration
1761387,Mass Concentration
1761663,Mass Concentration
1761727,-
1761734,-
1761833,Number Fraction
1761850,Arbitrary
1761737,Number Fraction
1761865,Arbitrary
1761448,Presence or Threshold
1761505,Mass Concentration
1761738,Mass Concentration
1761841,Mass Concentration
3013660,Electrical Potential (Voltage)
3012247,Electrical Potential (Voltage)
3017441,Electrical Potential (Voltage)
3018289,Time (e.g. seconds)
3018593,Time (e.g. seconds)
3018823,Time (e.g. seconds)
3004962,Time (e.g. seconds)
