id,source,abbreviation,abbreviation_source,name_fi,name_se,unit,source_concept_id,concept_id_omop_grouped
1001,LABfi,pt-acth-r1,Pt-ACTH-R1,"Pt-Adrenokortikotropiini-koe, lyhyt","Pt-Adrenokortikotropin-test, kort",Lomake,2014000101,NA
1002,LABfi,pt-acth-r2,Pt-ACTH-R2,"Pt-Adrenokortikotropiini-koe, pitkä","Pt-Adrenokortikotropin-test, lång",Lomake,2014000102,NA
1003,LABfi,pt-acth-r3,Pt-ACTH-R3,"Pt-Adrenokortikotropiini-koe, 21-hydroksylaasi entsyymipuute","Pt-Adrenokortikotropin-test, 21-hydroxylasbrist",Lomake,2014000103,NA
1004,LABfi,s-crh,S -CRH,S -Adrenokortikotropiini-vapauttajahormoni,S -Adrenokortikotropin-frigörande hormon,Lomake,2014000104,NA
1005,LABfi,ts-crh,Ts-CRH,Ts-Adrenokortikotropiini-vapauttajahormoni,Ts -Adrenokortikotropin-frigörande hormon,Lomake,2014000105,NA
1006,LABfi,-actina,-ActiNa,"-Actinomyces, natiivivalmiste","-Actinomyces, nativpreparat",Lomake,2014000106,NA
1007,LABfi,-activi,-ActiVi,"-Actinomyces, viljely","-Actinomyces, odling",Lomake,2014000107,3028371
1008,LABfi,-activr,-ActiVr,"-Actinomyces, värjäys","-Actinomyces, färgning",Lomake,2014000108,NA
1009,LABfi,e-atp,E -ATP,E -Adenosiinitrifosfaatti,E -Adenosintrifosfat,mmol/l,2014000109,NA
1010,LABfi,e-atpase,E -ATPase,E -Adenosiinitrifosfataasi,E -Adenosintrifosfatas,mmol/hl,2014000110,NA
1011,LABfi,f-adenag,F -AdenAg,"F -Adenovirus, antigeeni","F -Adenovirus, antigen",Lomake,2014000111,3020393
1013,LABfi,e-ak,E -AK,E -Adenylaattikinaasi,E -Adenylatkinas,U/g_Hb,2014000112,NA
1014,LABfi,li-ak,Li-AK,Li-Adenylaattikinaasi,Li-Adenylatkinas,U/l,2014000113,NA
1015,LABfi,s-ak,S -AK,S -Adenylaattikinaasi,S -Adenylatkinas,U/l,2014000114,NA
1016,LABfi,du-adr,dU-Adr,dU-Adrenaliini,dU-Adrenalin,umol,2014000115,NA
1017,LABfi,p-adr,P -Adr,P -Adrenaliini,P -Adrenalin,nmol/l,2014000116,NA
1019,LABfi,du-adrnor,dU-AdrNor,dU-Adrenaliini + noradrenaliini,dU-Adrenalin + noradrenalin,umol,2014000117,NA
1020,LABfi,p-acth,P -ACTH,P -Adrenokortikotropiini ,P -Adrenokortikotropin,pmol/l,2014000118,3035963
1021,LABfi,s-acth-ab,S -ACTH-Ab,"S -Adrenokortikotropiini, vasta-aineet","S -Adrenokortikotropin, antikroppar",Lomake,2014000119,NA
1022,LABfi,af-alat,Af-ALAT,Af-Alaniiniaminotransferaasi,Af-Alaninaminotransferas,U/l,2014000120,NA
1023,LABfi,li-alat,Li-ALAT,Li-Alaniiniaminotransferaasi,Li-Alaninaminotransferas,U/l,2014000121,NA
1024,LABfi,p-alat,P -ALAT,P -Alaniiniaminotransferaasi,P -Alaninaminotransferas,U/l,2014000122,3006923
